"variable, slope, intercept, r_value, r_squared, p_value, std_err"
Norm_to_cloud_mean_Rain_mass_mean_all_HM_on_off,0.037571562788268655,0.252508038919339,0.41221915118448504,0.16992462860325733,0.2365065568526354,0.029359243838276816
Norm_to_cloud_mean_Ice_crystal_mass_mean_HM_on,-0.2440495201948167,0.010725723597539837,-0.9980020797330241,0.9960081511514415,0.00010716942249173598,0.00892016583992309
Norm_to_cloud_mean_Ice_crystal_mass_mean_HM_off,-0.31227156171377524,0.02947769816841834,-0.9740890354577302,0.9488494489989712,0.004987283430632472,0.041859912016536056
Norm_to_cloud_mean_Ice_crystal_mass_mean_all_HM_on_off,-0.27816054095429593,0.020101714608269386,-0.9015071254332745,0.8127150972069657,0.00036502322064310873,0.047209864075821076
Norm_to_cloud_mean_Graupel_mass_mean_HM_on,0.14854396476346213,0.18434949143901894,0.9494985897658716,0.901547571967379,0.013519842213987094,0.028340876371647842
Norm_to_cloud_mean_Graupel_mass_mean_HM_off,0.27005239298438766,0.16102586483950146,0.882403031850646,0.7786351106192121,0.04754612168739785,0.0831332540715693
Norm_to_cloud_mean_Graupel_mass_mean_all_HM_on_off,0.20929817887392488,0.1726876781392602,0.7012481396169371,0.4917489533162153,0.02384602423507122,0.07522944792870499
Norm_to_cloud_mean_Snow_mass_mean_HM_on,0.08280730883079702,0.42231788553301064,0.3486831623171878,0.12157994768351435,0.5652104952580973,0.12850741506020025
Norm_to_cloud_mean_Snow_mass_mean_HM_off,-0.04083016105190951,0.26980617787129924,-0.16209852847065834,0.026275932932352832,0.7945171891184115,0.14350245980416096
Norm_to_cloud_mean_Snow_mass_mean_all_HM_on_off,0.02098857388944377,0.34606204660331613,0.03967585111077135,0.001574173161364096,0.9133455706453963,0.18688291024138376
Norm_to_cloud_mean_Total_water_path_HM_on,0.03087614207437547,0.9398130924227102,0.11927735551507906,0.014227087538670562,0.8484922346786197,0.1483859705150443
Norm_to_cloud_mean_Total_water_path_HM_off,-0.06189382564184277,0.7548712201654689,-0.20137770991431567,0.04055298205033427,0.7453416117286841,0.17381441887914928
Norm_to_cloud_mean_Total_water_path_all_HM_on_off,-0.015508841783733632,0.8473421264917671,-0.023046638744963325,0.0005311475574408447,0.9496122467631287,0.23785452052082745
Norm_to_cloud_DIFF_TO_NOINP_mean_Ice_water_path_mean_HM_on,-0.012698396005228466,0.22308293194334394,-0.05568374530942591,0.003100679491685012,0.9291379095810927,0.1314575248366396
Norm_to_cloud_DIFF_TO_NOINP_mean_Liquid_water_path_mean_HM_on,0.04357436853208161,0.04784093226771951,0.6543424772105984,0.42816407748210245,0.2308834357115935,0.029073751762203212
Norm_to_cloud_DIFF_TO_NOINP_mean_Cloud_drop_mass_mean_HM_on,-0.002283571355473219,0.003831680112698197,-0.26965254884314493,0.07271249709760466,0.6608750723037906,0.004708218755137967
Norm_to_cloud_DIFF_TO_NOINP_mean_Rain_mass_mean_HM_on,0.04585791723278623,0.044009226260409956,0.7005267246941184,0.4907376920106691,0.18764164003679115,0.026971168218321684
Norm_to_cloud_DIFF_TO_NOINP_mean_Ice_crystal_mass_mean_HM_on,-0.24404951760303314,-0.08925223856330758,-0.9980020791674963,0.9960081500226455,0.0001071694679854285,0.008920167011447284
Norm_to_cloud_DIFF_TO_NOINP_mean_Graupel_mass_mean_HM_on,0.14854396476346213,0.0785400338389022,0.9494985897658716,0.901547571967379,0.013519842213987094,0.028340876371647842
Norm_to_cloud_DIFF_TO_NOINP_mean_Snow_mass_mean_HM_on,0.08280730883079702,0.23379521884027687,0.3486831623171878,0.12157994768351435,0.5652104952580973,0.12850741506020025
Norm_to_cloud_DIFF_TO_NOINP_mean_Total_water_path_HM_on,0.03087614207437547,0.27092386789344375,0.11927735551507906,0.014227087538670562,0.8484922346786197,0.1483859705150443
