 variable,  slope,  intercept,  r_value,  r_squared,  p_value,  std_err 
In_cloud_ice_div_SandG_at_4km_all_HM_on_off,3.206076852735649e-11,1.1002948659633373e-11,0.4387735682361615,0.19252224418269345,0.2046021474365264,2.321420209936561e-11
In_cloud_ice_div_SandG_at_5km_HM_on,0.0018597553976400676,0.0007737884407917823,0.5217148641335919,0.27218639945793227,0.36723485138364065,0.0017557879883162604
In_cloud_ice_div_SandG_at_5km_HM_off,0.0018882552202468057,0.0006450097473221963,0.4753422244938168,0.22595023038673012,0.4184099420981974,0.0020177999887092384
In_cloud_ice_div_SandG_at_5km_all_HM_on_off,0.001874005308943437,0.0007093990940569895,0.4923808774115633,0.2424389284405809,0.14825192035408324,0.0011712064901442955
In_cloud_ice_div_SandG_at_6km_HM_on,0.0041982083717067116,0.007778080737191806,0.8829095908577415,0.7795293456285844,0.0472429731650566,0.0012890285132546038
In_cloud_ice_div_SandG_at_6km_HM_off,0.0033080966656233502,0.0011443984804226125,0.49685297302169545,0.24686287680049762,0.39447594276415343,0.0033360050461674145
In_cloud_ice_div_SandG_at_6km_all_HM_on_off,0.0037531525186650302,0.004461239928949344,0.1541964981516694,0.02377656004223778,0.6706013446874858,0.008502591703522577
In_cloud_ice_div_SandG_at_8km_HM_on,-0.013626852866769533,0.00262916129875677,-0.7570602085388322,0.57314015935286,0.13838396809608702,0.006789646574550347
In_cloud_ice_div_SandG_at_8km_HM_off,-0.11240222558713607,-0.010315705638609847,-0.9248407602627051,0.8553304318432984,0.024453988413597753,0.02668922196535876
In_cloud_ice_div_SandG_at_8km_all_HM_on_off,-0.0630145392269528,-0.0038432717042652526,-0.6990895330108122,0.4887261751652755,0.024471529333461882,0.02278713636419928
In_cloud_ice_div_SandG_at_10km_HM_on,-1.3677445926107439,-0.09420190189095329,-0.9801780396525688,0.9607489894171527,0.0033400906383886644,0.15961174011643509
In_cloud_ice_div_SandG_at_10km_HM_off,-3.557647728628478,-0.16488211598005476,-0.9575253227108423,0.9168547436325027,0.010441009969271196,0.6185442666702424
In_cloud_ice_div_SandG_at_10km_all_HM_on_off,-2.4626961606196107,-0.12954200893550405,-0.7935724945350829,0.6297573040826342,0.0061405610660197904,0.667609461538129
In_cloud_ice_div_SandG_at_12km_HM_on,-4.478622039852606,-0.1641086564751254,-0.9916166948925969,0.9833036695897175,0.0009202586090407752,0.33693837030987694
In_cloud_ice_div_SandG_at_12km_HM_off,-14.261079979643519,-0.49051035670984966,-0.9747794343848027,0.950194945699556,0.00478978776238749,1.8850468097302828
In_cloud_ice_div_SandG_at_12km_all_HM_on_off,-9.36985100974806,-0.327309476790165,-0.7605700088518744,0.5784667383649403,0.010644843612315812,2.8279024232146974
In_cloud_ice_div_SandG_at_14km_HM_on,-14.044192271171655,-0.28956680126244816,-0.9894381537626288,0.9789878601211994,0.0013009313478485613,1.1879075089634956
In_cloud_ice_div_SandG_at_14km_HM_off,-34.090054401722696,1.160112529708444,-0.9471631839171025,0.897118096967983,0.014463272043390627,6.66517800727553
In_cloud_ice_div_SandG_at_14km_all_HM_on_off,-24.06712333644717,0.43527346026944613,-0.7126428481558548,0.5078598290276887,0.02072541144649085,8.376289268293922
In_cloud_ice_div_S_at_3km_HM_on,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_div_S_at_3km_HM_off,0.0,0.0,0.0,0.0,1.0,0.0
