0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,-20.5493103448,,,-20.83575,,,,-11.1744262295,,,-11.2879761905,,,,-8.8890123457,,,-9.5501136364,,,,-27.9225,,,-30.47,,,,-18.6373417722,,,-18.5680882353,,,,,,,,,
2,0.1wt% kaolinite,,,,,,,0.1wt% feldspar,,,,,,,1wt% feldspar,,,,,,,milliq,,,,,,,1wt% koalinite,,,,,,,,,,,,
3,glass slide,,,filter ,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,,,,,,
28,-19.04,0.2873563218,338773.733609492,-19.51,0.3125,374693.449441411,,-11.14,0.4098360656,527354.925717201,-10.81,0.2976190476,353279.354937594,25,-8.75,0.3125,374693.449441411,-9,0.2840909091,334202.088086674,,-27.68,0.4166666667,538996.500732687,-30.35,0.3289473684,398907.707562005,,-18,0.3164556962,380463.805902747,-18.64,0.3676470588,458307.589482544,,,,,,,
29,-19.15,0.2988505747,355034.254481273,-19.69,0.325,393042.588109607,,-11.15,0.4262295082,555525.802683898,-10.83,0.3095238095,370373.788296894,26,-8.79,0.325,393042.588109607,-9.14,0.2954545455,350202.429433115,,-27.69,0.4333333333,567984.037605939,-30.37,0.3421052632,418710.334858185,,-18.02,0.3291139241,399155.9389149,-18.67,0.3823529412,481838.086892738,,,,,,,
30,-19.17,0.3103448276,371563.556432483,-19.73,0.3375,411734.72112176,,-11.19,0.4426229508,584513.33955715,-10.88,0.3214285714,387765.531008763,27,-8.79,0.3375,411734.72112176,-9.16,0.3068181818,366462.950304895,,-27.77,0.45,597837.00075562,-30.47,0.3552631579,438913.042175705,,-18.01,0.3417721519,418204.133885594,-18.67,0.3970588235,505935.638471799,,,,,,,
31,-19.36,0.3218390805,388370.674748864,-19.77,0.35,430782.916092454,,-11.27,0.4590163934,614366.302706831,-10.88,0.3333333333,405465.108108164,28,-8.82,0.35,430782.916092454,-9.17,0.3181818182,382992.252256106,,-27.94,0.4666666667,628608.659422374,-30.51,0.3684210526,459532.32937844,,-18.06,0.3544303797,437622.219742696,-18.77,0.4117647059,530628.25106217,,,,,,,
32,-19.43,0.3333333333,405465.108108164,-19.83,0.3625,450201.001949556,,-11.35,0.4754098361,645137.961373585,-10.91,0.3452380952,423483.613610843,29,-8.87,0.3625,450201.001949556,-9.24,0.3295454545,399799.370572487,,-28.15,0.4833333333,660357.357736955,-30.64,0.3815789474,480585.738576273,,-18.06,0.3670886076,457424.847038875,-18.81,0.4264705882,555946.05904646,,,,,,,
33,-19.54,0.3448275862,422856.850820034,-19.94,0.375,470003.629245736,,-11.35,0.4918032787,676886.659688165,-10.93,0.3571428571,441832.752279039,30,-8.94,0.375,470003.629245736,-9.26,0.3409090909,416893.803931787,,-28.5,0.5,693147.180559945,-30.66,0.3947368421,502091.943797236,,-18.11,0.3797468354,477627.554356395,-18.89,0.4411764706,581921.545449721,,,,,,,
34,-19.56,0.3563218391,440556.427919435,-20.04,0.3875,490206.336563255,,-11.37,0.5081967213,709676.482511156,-10.93,0.369047619,460524.885291192,31,-8.94,0.3875,490206.336563255,-9.3,0.3522727273,434285.546643656,,-28.52,0.5166666667,727048.732235627,-30.72,0.4078947368,524070.850516011,,-18.16,0.3924050633,498246.841559131,-18.91,0.4558823529,608589.792531882,,,,,,,
35,-19.65,0.367816092,458574.933422113,-20.06,0.4,510825.623765991,,-11.38,0.5245901639,743578.034186838,-11.06,0.380952381,479573.080261886,32,-8.94,0.4,510825.623765991,-9.33,0.3636363636,451985.123743057,,-28.71,0.5333333333,762140.052046897,-30.76,0.4210526316,546543.70636807,,-18.32,0.4050632911,519300.250756963,-19.08,0.4705882353,635988.766719997,,,,,,,
36,-19.69,0.3793103448,476924.072090309,-20.33,0.4125,531879.032963823,,-11.43,0.5409836066,778669.353998107,-11.14,0.3928571429,498991.166118988,33,-9,0.4125,531879.032963823,-9.35,0.375,470003.629245736,,-28.81,0.55,798507.696217772,-30.78,0.4342105263,569533.224592769,,-18.32,0.417721519,540806.455977927,-19.08,0.4852941176,664159.643686693,,,,,,,
37,-19.7,0.3908045977,495616.205102462,-20.33,0.425,553385.238184787,,-11.49,0.5573770492,815036.998168982,-11.29,0.4047619048,518793.793415168,34,-9,0.425,553385.238184787,-9.38,0.3863636364,488352.767913932,,-28.88,0.5666666667,836248.024200619,-30.78,0.4473684211,593063.722002963,,-18.36,0.4303797468,562785.362696702,-19.18,0.5,693147.180559945,,,,,,,
38,-19.77,0.4022988506,514664.400073157,-20.47,0.4375,575364.144903562,,-11.49,0.5737704918,852777.326151829,-11.29,0.4166666667,538996.500732687,35,-9.01,0.4375,575364.144903562,-9.38,0.3977272727,507044.900926085,,-28.94,0.5833333333,875468.7373539,-30.78,0.4605263158,617161.273582023,,-18.37,0.4430379747,585258.21854876,-19.19,0.5147058824,723000.143709626,,,,,,,
39,-19.83,0.4137931034,534082.485930258,-20.53,0.45,597837.00075562,,-11.51,0.5901639344,891998.039305111,-11.31,0.4285714286,559615.787935423,36,-9.04,0.45,597837.00075562,-9.4,0.4090909091,526093.095896779,,-29.04,0.6,916290.731874155,-30.97,0.4736842105,641853.886172395,,-18.5,0.4556962025,608247.736773459,-19.24,0.5294117647,753771.80237638,,,,,,,
40,-19.83,0.4252873563,553885.113226438,-20.63,0.4625,620826.518980319,,-11.6,0.606557377,932820.033825366,-11.31,0.4404761905,580669.197133255,37,-9.06,0.4625,620826.518980319,-9.42,0.4204545455,545511.181753881,,-29.15,0.6166666667,958850.346292951,-31.03,0.4868421053,667171.694156685,,-18.53,0.4683544304,631778.234183653,-19.24,0.5441176471,785520.50069096,,,,,,,
41,-19.92,0.4367816092,574087.820543957,-20.65,0.475,644357.016390514,,-11.61,0.6229508197,975379.648244162,-11.37,0.4523809524,602175.402354219,38,-9.08,0.475,644357.016390514,-9.45,0.4318181818,565313.809050061,,-29.15,0.6333333333,1003302.10886378,-31.09,0.5,693147.180559945,,-18.55,0.4810126582,655875.785762714,-19.27,0.5588235294,818310.323513951,,,,,,,
42,-19.94,0.4482758621,594707.107746693,-20.69,0.4875,668454.567969574,,-11.65,0.6393442623,1019831.410815,-11.39,0.4642857143,624154.309072994,39,-9.08,0.4875,668454.567969574,-9.51,0.4431818182,585516.51636758,,-29.15,0.65,1049822.12449868,-31.09,0.5131578947,719815.427642107,,-18.58,0.4936708861,680568.398353085,-19.34,0.5735294118,852211.875189633,,,,,,,
