Egypt,Egypt,Egypt,Egypt,Egypt,,Atacama milled,Atacama milled,Atacama milled,Atacama milled,,Etosha,Etosha,Etosha,Etosha,,Taklamakan,Taklamakan,Taklamakan,Taklamakan
T ©,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2)
250.47,-22.68,0.2,50400000,13600000,,257.2,0.2,11500000,3860000,,253.61,0.2,9950000,2470000,,252.18,0.2,18300000,5600000
250.34,-22.81,0.2,50600000,13800000,,257.17,0.2,11700000,3930000,,253.61,0.2,10000000,2480000,,252.17,0.2,18400000,5630000
250.33,-22.82,0.2,51300000,13900000,,257.15,0.2,11700000,3940000,,253.57,0.2,10100000,2490000,,252.14,0.2,18600000,5690000
250.33,-22.82,0.2,51800000,14000000,,257.14,0.2,12000000,4030000,,253.56,0.2,10100000,2510000,,252.13,0.2,19100000,5840000
250.32,-22.83,0.2,52100000,14100000,,257.13,0.2,12000000,4040000,,253.56,0.2,10200000,2530000,,252.1,0.2,19200000,5870000
250.32,-22.83,0.2,52300000,14200000,,257.12,0.2,12200000,4110000,,253.56,0.2,10300000,2560000,,252.09,0.2,19400000,5930000
250.31,-22.84,0.2,53000000,14300000,,257.1,0.2,12300000,4130000,,253.55,0.2,10400000,2580000,,252.04,0.2,19500000,5960000
250.27,-22.88,0.2,53300000,14400000,,257.08,0.2,12500000,4190000,,253.48,0.2,10500000,2610000,,252.03,0.2,19700000,6020000
250.21,-22.94,0.2,53500000,14400000,,257.07,0.2,12600000,4240000,,253.47,0.2,10600000,2620000,,252.01,0.2,19800000,6050000
250.2,-22.95,0.2,53700000,14500000,,257.05,0.2,12800000,4290000,,253.45,0.2,10700000,2660000,,252,0.2,19900000,6080000
250.19,-22.96,0.2,54000000,14600000,,257.03,0.2,12900000,4330000,,253.44,0.2,11000000,2730000,,251.99,0.2,20000000,6110000
250.18,-22.97,0.2,54200000,14600000,,256.98,0.2,13000000,4360000,,253.44,0.2,11100000,2740000,,251.97,0.2,20200000,6170000
250.16,-22.99,0.2,54500000,14800000,,256.97,0.2,13100000,4410000,,253.43,0.2,11100000,2760000,,251.96,0.2,20300000,6200000
,,,,,,256.96,0.2,13200000,4430000,,253.41,0.2,11300000,2810000,,251.86,0.2,20500000,6260000
,,,,,,256.95,0.2,13400000,4520000,,253.41,0.2,11400000,2820000,,251.83,0.2,20600000,6290000
,,,,,,256.93,0.2,13900000,4670000,,253.4,0.2,11500000,2860000,,251.82,0.2,20800000,6350000
,,,,,,256.92,0.2,14000000,4710000,,253.34,0.2,11800000,2930000,,251.82,0.2,20900000,6380000
,,,,,,256.91,0.2,14300000,4790000,,253.31,0.2,11900000,2960000,,251.81,0.2,21000000,6410000
,,,,,,256.9,0.2,14400000,4830000,,253.29,0.2,12100000,3000000,,251.79,0.2,21300000,6500000
,,,,,,256.86,0.2,14500000,4880000,,253.29,0.2,12200000,3020000,,251.77,0.2,21600000,6590000
,,,,,,256.84,0.2,14600000,4920000,,253.28,0.2,12300000,3050000,,251.7,0.2,21700000,6630000
,,,,,,256.82,0.2,14800000,4970000,,253.26,0.2,12500000,3090000,,251.67,0.2,21800000,6660000
,,,,,,256.82,0.2,14900000,5020000,,253.26,0.2,12600000,3130000,,251.66,0.2,22100000,6750000
,,,,,,256.8,0.2,15300000,5130000,,253.24,0.2,12700000,3150000,,251.66,0.2,22300000,6810000
,,,,,,256.77,0.2,15500000,5200000,,253.22,0.2,12700000,3160000,,251.65,0.2,22400000,6840000
,,,,,,256.75,0.2,15600000,5240000,,253.19,0.2,12900000,3190000,,251.5,0.2,22700000,6930000
,,,,,,256.74,0.2,15600000,5250000,,253.16,0.2,12900000,3200000,,251.5,0.2,22900000,7000000
,,,,,,256.72,0.2,15900000,5340000,,253.14,0.2,13000000,3210000,,251.5,0.2,23300000,7120000
,,,,,,256.71,0.2,16200000,5430000,,253.12,0.2,13000000,3230000,,251.49,0.2,23500000,7180000
,,,,,,256.7,0.2,16400000,5510000,,253.12,0.2,13200000,3280000,,251.46,0.2,23600000,7210000
,,,,,,256.7,0.2,16700000,5600000,,253.09,0.2,13300000,3300000,,251.44,0.2,23700000,7240000
,,,,,,256.66,0.2,16800000,5650000,,253.07,0.2,13500000,3350000,,251.44,0.2,24100000,7370000
,,,,,,256.65,0.2,17000000,5710000,,253.06,0.2,13600000,3380000,,251.34,0.2,24200000,7400000
,,,,,,256.63,0.2,17000000,5730000,,253.05,0.2,13700000,3390000,,251.34,0.2,24300000,7430000
,,,,,,256.62,0.2,17200000,5780000,,252.98,0.2,13900000,3450000,,251.34,0.2,24400000,7460000
,,,,,,256.61,0.2,17300000,5800000,,252.96,0.2,14000000,3480000,,251.32,0.2,24700000,7560000
,,,,,,256.6,0.2,17400000,5840000,,252.96,0.2,14300000,3530000,,251.3,0.2,25600000,7810000
,,,,,,256.58,0.2,17500000,5890000,,252.94,0.2,14400000,3570000,,251.26,0.2,25800000,7870000
