Flight/sample#,,20150823_b924_filter8_050l,,,,,,,,,,,
Total flow (litres),,,50,,,,,,,,,,
Total area (um2/cm3),,,1873.5744611893,220.4508653165,,,,,,,,,
Area for d>0.5um (um2/cm3),,,1741.8560279899,219.3748865638,,,,,,,,,
Total number (um2/cm3),,,913.7052606161,140.0249175595,,,,,,,,,
Number for d>0.5um (um2/cm3),,,212.7208334451,16.6745551556,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-15.82,0.2105263158,232271.670422715,5.81E+03,0.2363887781,0.201,0.2901,0.0353887781,0.0537112219,1713.7136561737,1989.6000293173,3101380.90311512,1.12E+06,984783.12581302
-16.02,0.2280701754,254435.601848542,6.37E+03,0.2588616339,0.2217,0.3199,0.0371616339,0.0610383661,1856.3773241169,2216.647997701,3397322.26151201,1.25E+06,1068418.80274343
-16.02,0.2456140351,277425.120073241,6.94E+03,0.2818511521,0.2385,0.3442,0.0433511521,0.0623488479,2058.3895877145,2343.859874675,3704287.17317833,1.32E+06,1181942.97492345
-16.26,0.2631578947,300554.159832727,7.52E+03,0.3053816496,0.2567,0.3796,0.0486816496,0.0742183504,2253.0850837793,2653.4034626307,4013115.03017404,1.49E+06,1291943.87587899
-16.41,0.2807017544,324382.512428625,8.11E+03,0.3294792011,0.2762,0.4085,0.0532792011,0.0790207989,2441.1512049415,2844.3927764215,4331280.38180353,1.60E+06,1399061.30612984
-16.43,0.298245614,349038.115426128,8.73E+03,0.3541718137,0.2973,0.4396,0.0568718137,0.0854281863,2618.6465853835,3066.0127569653,4660491.4997676,1.73E+06,1501399.7230934
-16.45,0.3157894737,374318.645072479,9.36E+03,0.3794896217,0.3199,0.4731,0.0595896217,0.0936103783,2787.6659431277,3321.5838606757,4998046.87930716,1.87E+06,1599891.11769624
-16.45,0.3333333333,400294.131475739,1.00E+04,0.4054651081,0.3359,0.4968,0.0695651081,0.0913348919,3059.9027452555,3399.2870543648,5344881.58942737,1.92E+06,1750091.24734299
-16.49,0.350877193,426887.007826674,1.07E+04,0.4321333552,0.3615,0.5346,0.0706333552,0.1024666448,3212.0691947557,3710.2495964776,5699959.92818299,2.09E+06,1840922.9933773
-16.51,0.3684210526,454247.885675902,1.14E+04,0.4595323294,0.3796,0.5614,0.0799323294,0.1018676706,3483.5238643614,3825.0059287205,6065292.9190709,2.16E+06,1991553.16556306
-16.55,0.3859649123,482341.738046608,1.21E+04,0.4877032063,0.4085,0.6042,0.0792032063,0.1164967937,3618.0760434692,4202.1468514261,6440412.86839091,2.37E+06,2074473.84882777
-16.62,0.4035087719,511191.770570716,1.28E+04,0.5166907432,0.429,0.6345,0.0876907432,0.1178092568,3885.7144598416,4355.7192015408,6825629.62668813,2.46E+06,2224030.61686582
-16.73,0.4210526316,540821.495690467,1.35E+04,0.5465437064,0.4505,0.6663,0.0960437064,0.1197562936,4157.1901735215,4526.0067059273,7221257.14115732,2.56E+06,2375977.29548402
-16.73,0.4385964912,571593.154357221,1.43E+04,0.577315365,0.4731,0.717,0.104215365,0.139684635,4431.5751628072,5005.2898311191,7632132.19265441,2.82E+06,2530041.6327393
-17.01,0.4561403509,602731.8562314,1.51E+04,0.6090640633,0.4968,0.7529,0.1122640633,0.1438359367,4709.6250707805,5219.2710572653,8047908.14658207,2.94E+06,2686158.04442821
-17.01,0.4736842105,635521.679054391,1.59E+04,0.6418538862,0.5346,0.7907,0.1072538862,0.1488461138,4803.4006956003,5453.3389144185,8485730.50405975,3.08E+06,2751326.93317493
-17.09,0.4912280702,669237.292427679,1.67E+04,0.6757554378,0.5479,0.8303,0.1278554378,0.1545445622,5274.9461168341,5704.5576680788,8935914.3739326,3.22E+06,3005367.49372112
-17.09,0.5087719298,704328.612238949,1.76E+04,0.7108467577,0.5896,0.8719,0.1212467577,0.1610532423,5354.3966636474,5975.1401835818,9404467.20661217,3.38E+06,3064602.39955134
